iter	Passed	Remaining
0	0	28
1	0	25
2	0	28
3	1	26
4	1	26
5	1	25
6	1	25
7	2	25
8	2	26
9	2	26
10	3	25
11	3	25
12	3	25
13	4	25
14	4	25
15	4	25
16	5	24
17	5	24
18	5	24
19	5	23
20	6	23
21	6	23
22	6	23
23	7	22
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	15	16
48	15	16
49	15	15
50	16	15
51	16	15
52	17	15
53	17	14
54	17	14
55	18	14
56	18	14
57	18	13
58	19	13
59	19	13
60	19	12
61	20	12
62	20	12
63	21	11
64	21	11
65	21	11
66	22	10
67	22	10
68	23	10
69	23	10
70	23	9
71	24	9
72	24	9
73	25	8
74	25	8
75	25	8
76	26	7
77	26	7
78	27	7
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	30	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	33	1
95	33	1
96	34	1
97	34	0
98	34	0
99	35	0
