iter	Passed	Remaining
0	62	62267
1	62	31285
2	63	20984
3	63	15856
4	65	13029
5	65	10886
6	66	9402
7	66	8264
8	67	7382
9	67	6683
10	67	6096
11	69	5683
12	69	5276
13	69	4927
14	70	4624
15	71	4396
16	71	4152
17	72	3934
18	72	3743
19	72	3573
20	73	3413
21	73	3268
22	73	3137
23	74	3017
24	74	2903
25	74	2803
26	75	2706
27	75	2617
28	75	2538
29	76	2461
30	76	2390
31	76	2324
32	77	2259
33	78	2221
34	78	2166
35	78	2115
36	79	2063
37	79	2017
38	80	1972
39	80	1929
40	80	1887
41	81	1848
42	81	1810
43	81	1775
44	82	1742
45	82	1711
46	82	1681
47	83	1653
48	83	1623
49	83	1595
50	84	1568
51	84	1542
52	84	1517
53	85	1494
54	85	1471
55	86	1450
56	86	1427
57	86	1405
58	86	1385
59	87	1367
60	87	1348
61	87	1330
62	88	1312
63	88	1294
64	88	1277
65	89	1260
66	89	1245
67	89	1232
68	90	1218
69	90	1204
70	91	1191
71	91	1178
72	91	1165
73	92	1152
74	92	1141
75	92	1129
76	93	1118
77	93	1106
78	93	1095
79	94	1084
80	94	1074
81	95	1064
82	95	1051
83	95	1042
84	96	1034
85	96	1024
86	96	1015
87	97	1006
88	97	997
89	97	988
90	98	980
91	98	971
92	98	964
93	99	955
94	99	947
95	99	939
96	100	932
97	100	924
98	100	917
99	101	910
100	101	904
101	101	897
102	102	890
103	102	884
104	103	878
105	103	872
106	103	866
107	104	860
108	104	854
109	104	848
110	105	843
111	105	838
112	106	832
113	106	827
114	106	822
115	107	817
116	107	812
117	108	807
118	108	802
119	108	796
120	109	792
121	109	787
122	109	783
123	110	778
124	110	774
125	111	770
126	111	765
127	111	761
128	112	756
129	112	752
130	112	747
131	113	743
132	113	739
133	113	735
134	114	731
135	114	727
136	114	723
137	115	720
138	115	716
139	116	717
140	117	713
141	117	709
142	117	705
143	118	702
144	118	698
145	118	695
146	119	692
147	119	689
148	120	685
149	120	682
150	120	679
151	121	675
152	121	672
153	121	669
154	122	666
155	122	664
156	123	661
157	123	658
158	123	655
159	124	653
160	124	649
161	125	647
162	125	644
163	125	641
164	126	638
165	126	636
166	127	633
167	127	631
168	127	628
169	128	625
170	128	622
171	129	621
172	129	618
173	129	616
174	130	613
175	130	611
176	130	609
177	131	606
178	131	604
179	132	601
180	132	599
181	132	597
182	133	595
183	133	593
184	134	591
185	134	589
186	135	587
187	135	584
188	135	582
189	136	580
190	136	578
191	136	576
192	137	574
193	137	572
194	138	570
195	138	568
196	138	566
197	139	563
198	139	561
199	139	559
200	140	557
201	140	555
202	141	553
203	141	552
204	141	550
205	142	548
206	142	546
207	142	544
208	143	542
209	143	540
210	143	538
211	144	536
212	144	534
213	145	532
214	145	530
215	145	529
216	146	527
217	146	525
218	146	523
219	147	522
220	147	520
221	147	518
222	148	516
223	148	515
224	149	513
225	149	511
226	149	510
227	150	508
228	150	507
229	151	505
230	151	504
231	151	502
232	152	501
233	152	499
234	153	500
235	154	498
236	154	497
237	154	495
238	155	493
239	155	492
240	155	490
241	156	489
242	156	487
243	156	486
244	157	484
245	157	483
246	158	481
247	158	480
248	158	478
249	159	477
250	159	476
251	159	474
252	160	473
253	160	472
254	161	470
255	161	469
256	161	467
257	162	466
258	162	465
259	162	463
260	163	462
261	163	461
262	164	459
263	164	458
264	164	456
265	165	455
266	165	453
267	165	452
268	166	451
269	166	450
270	166	448
271	167	447
272	167	446
273	168	445
274	168	444
275	168	443
276	169	442
277	169	441
278	170	440
279	170	438
280	171	437
281	171	436
282	171	435
283	172	434
284	172	433
285	173	432
286	173	431
287	173	429
288	174	428
289	174	427
290	175	426
291	175	425
292	175	424
293	176	422
294	176	421
295	176	420
296	177	419
297	177	418
298	178	417
299	178	416
300	178	415
301	179	414
302	179	413
303	180	412
304	180	411
305	181	410
306	181	409
307	181	408
308	182	407
309	182	406
310	183	405
311	183	404
312	183	403
313	184	402
314	184	401
315	185	400
316	185	399
317	185	398
318	186	398
319	186	397
320	187	395
321	187	395
322	188	394
323	188	393
324	188	392
325	189	391
326	189	390
327	190	389
328	190	388
329	190	387
330	191	386
331	191	385
332	192	384
333	192	383
334	192	382
335	193	381
336	193	380
337	193	379
338	194	378
339	194	377
340	195	376
341	195	375
342	195	374
343	196	374
344	196	373
345	196	372
346	197	371
347	197	370
348	197	369
349	198	368
350	198	367
351	199	366
352	199	365
353	199	364
354	200	364
355	200	363
356	201	362
357	201	361
358	201	360
359	202	359
360	202	358
361	203	357
362	203	356
363	203	356
364	204	355
365	204	354
366	204	353
367	205	352
368	205	351
369	206	350
370	206	350
371	206	349
372	207	348
373	207	347
374	207	346
375	208	345
376	208	344
377	209	344
378	209	343
379	209	342
380	210	341
381	210	340
382	211	340
383	211	339
384	211	338
385	212	337
386	212	336
387	212	335
388	213	334
389	213	334
390	214	333
391	214	332
392	214	331
393	215	330
394	215	330
395	215	329
396	216	328
397	216	327
398	216	326
399	217	325
400	217	325
401	218	324
402	218	323
403	218	322
404	219	321
405	219	321
406	219	320
407	220	319
408	220	318
409	220	317
410	221	317
411	221	316
412	222	315
413	222	314
414	222	314
415	223	313
416	223	312
417	223	311
418	224	311
419	224	310
420	225	309
421	225	308
422	225	308
423	226	307
424	226	306
425	227	306
426	227	305
427	227	304
428	228	303
429	228	303
430	228	302
431	229	301
432	229	300
433	230	300
434	230	299
435	230	298
436	231	297
437	231	297
438	231	296
439	232	295
440	232	294
441	233	294
442	233	293
443	233	292
444	234	292
445	234	291
446	234	290
447	235	289
448	235	289
449	236	288
450	236	287
451	236	287
452	237	286
453	237	285
454	237	285
455	238	284
456	238	283
457	239	283
458	239	282
459	239	281
460	240	281
461	240	280
462	241	279
463	241	278
464	241	278
465	242	277
466	242	276
467	243	276
468	243	275
469	243	274
470	244	274
471	244	273
472	244	272
473	245	272
474	245	271
475	246	270
476	246	270
477	246	269
478	247	268
479	247	268
480	248	267
481	248	266
482	248	266
483	249	265
484	249	264
485	249	264
486	250	263
487	250	263
488	251	262
489	251	261
490	251	260
491	252	260
492	252	259
493	252	258
494	253	258
495	253	257
496	253	256
497	254	256
498	254	255
499	255	255
500	255	254
501	255	253
502	256	253
503	256	252
504	256	251
505	257	251
506	257	250
507	258	249
508	258	249
509	258	248
510	259	248
511	259	247
512	259	246
513	260	246
514	260	245
515	261	244
516	261	244
517	261	243
518	262	242
519	262	242
520	262	241
521	263	240
522	263	240
523	263	239
524	264	239
525	264	238
526	265	237
527	265	237
528	265	236
529	266	235
530	266	235
531	266	234
532	267	234
533	267	233
534	267	232
535	268	232
536	268	231
537	268	230
538	269	230
539	269	229
540	269	228
541	270	228
542	270	227
543	270	227
544	271	226
545	271	225
546	272	225
547	272	224
548	272	224
549	273	223
550	273	222
551	273	222
552	274	221
553	274	221
554	274	220
555	275	219
556	275	219
557	275	218
558	276	217
559	276	217
560	277	216
561	277	216
562	277	215
563	278	214
564	278	214
565	278	213
566	279	213
567	279	212
568	279	211
569	280	211
570	280	210
571	280	209
572	280	209
573	281	208
574	281	207
575	281	207
576	284	208
577	285	208
578	285	207
579	285	206
580	285	206
581	286	205
582	286	204
583	286	204
584	286	203
585	287	202
586	287	202
587	287	201
588	288	201
589	288	200
590	288	199
591	289	199
592	289	198
593	289	198
594	290	197
595	290	196
596	290	196
597	290	195
598	291	194
599	291	194
600	291	193
601	292	193
602	292	192
603	292	192
604	293	191
605	293	190
606	293	190
607	294	189
608	294	189
609	294	188
610	295	188
611	295	187
612	296	186
613	296	186
614	296	185
615	297	185
616	297	184
617	297	184
618	298	183
619	298	182
620	298	182
621	299	181
622	299	181
623	299	180
624	300	180
625	300	179
626	301	179
627	301	178
628	301	177
629	302	177
630	302	176
631	303	176
632	303	175
633	303	175
634	304	174
635	304	174
636	304	173
637	305	173
638	305	172
639	305	172
640	306	171
641	306	171
642	307	170
643	307	169
644	307	169
645	308	168
646	308	168
647	308	167
648	309	167
649	309	166
650	310	166
651	310	165
652	311	165
653	311	164
654	311	164
655	312	163
656	312	163
657	313	162
658	313	162
659	313	161
660	314	161
661	314	160
662	314	160
663	315	159
664	315	158
665	316	158
666	316	157
667	316	157
668	317	156
669	317	156
670	317	155
671	318	155
672	318	154
673	318	154
674	319	153
675	319	153
676	319	152
677	320	152
678	320	151
679	320	150
680	321	150
681	321	149
682	321	149
683	322	148
684	322	148
685	323	147
686	323	147
687	323	146
688	324	146
689	324	145
690	324	145
691	325	144
692	325	144
693	326	143
694	326	143
695	326	142
696	327	142
697	327	141
698	327	141
699	328	140
700	328	140
701	328	139
702	329	139
703	329	138
704	329	138
705	330	137
706	330	137
707	331	136
708	331	136
709	332	135
710	332	135
711	332	134
712	333	134
713	333	133
714	333	133
715	334	132
716	334	132
717	335	131
718	335	131
719	335	130
720	336	130
721	336	129
722	336	129
723	337	128
724	337	128
725	338	127
726	338	127
727	338	126
728	339	126
729	339	125
730	340	125
731	340	124
732	340	124
733	341	123
734	341	123
735	341	122
736	342	122
737	344	122
738	344	121
739	344	121
740	345	120
741	345	120
742	345	119
743	346	119
744	346	118
745	346	118
746	347	117
747	347	117
748	347	116
749	347	115
750	348	115
751	348	114
752	348	114
753	349	113
754	349	113
755	349	112
756	350	112
757	350	111
758	350	111
759	351	110
760	351	110
761	351	109
762	352	109
763	352	108
764	353	108
765	353	107
766	353	107
767	354	107
768	354	106
769	354	106
770	355	105
771	355	105
772	356	104
773	356	104
774	356	103
775	357	103
776	357	102
777	357	102
778	358	101
779	358	101
780	359	100
781	359	100
782	359	99
783	360	99
784	360	98
785	360	98
786	361	97
787	361	97
788	362	96
789	362	96
790	362	95
791	363	95
792	363	94
793	363	94
794	364	93
795	364	93
796	364	92
797	365	92
798	365	91
799	366	91
800	366	91
801	366	90
802	367	90
803	367	89
804	367	89
805	368	88
806	368	88
807	368	87
808	369	87
809	369	86
810	370	86
811	370	85
812	370	85
813	371	84
814	371	84
815	372	83
816	372	83
817	372	82
818	373	82
819	373	82
820	374	81
821	374	81
822	374	80
823	375	80
824	375	79
825	375	79
826	376	78
827	376	78
828	377	77
829	378	77
830	378	76
831	378	76
832	379	76
833	379	75
834	379	75
835	380	74
836	380	74
837	381	73
838	381	73
839	381	72
840	382	72
841	382	71
842	383	71
843	383	70
844	383	70
845	384	69
846	384	69
847	384	69
848	385	68
849	385	68
850	386	67
851	386	67
852	386	66
853	387	66
854	387	65
855	387	65
856	388	64
857	388	64
858	388	63
859	388	63
860	390	62
861	390	62
862	390	62
863	391	61
864	391	61
865	391	60
866	392	60
867	392	59
868	392	59
869	393	58
870	393	58
871	393	57
872	394	57
873	394	56
874	394	56
875	395	55
876	395	55
877	396	55
878	396	54
879	396	54
880	397	53
881	397	53
882	397	52
883	398	52
884	398	51
885	398	51
886	399	50
887	399	50
888	400	49
889	400	49
890	400	49
891	401	48
892	401	48
893	402	47
894	402	47
895	402	46
896	403	46
897	403	45
898	403	45
899	404	44
900	404	44
901	405	44
902	405	43
903	405	43
904	406	42
905	406	42
906	407	41
907	407	41
908	408	40
909	408	40
910	408	39
911	409	39
912	409	39
913	409	38
914	410	38
915	410	37
916	411	37
917	411	36
918	411	36
919	412	35
920	412	35
921	412	34
922	413	34
923	413	34
924	414	33
925	414	33
926	414	32
927	415	32
928	415	31
929	416	31
930	416	30
931	416	30
932	417	29
933	417	29
934	417	29
935	418	28
936	418	28
937	418	27
938	420	27
939	420	26
940	420	26
941	421	25
942	421	25
943	421	25
944	422	24
945	422	24
946	422	23
947	423	23
948	423	22
949	424	22
950	424	21
951	424	21
952	425	20
953	425	20
954	426	20
955	426	19
956	426	19
957	427	18
958	427	18
959	428	17
960	428	17
961	428	16
962	429	16
963	429	16
964	429	15
965	430	15
966	430	14
967	430	14
968	431	13
969	431	13
970	432	12
971	432	12
972	433	12
973	433	11
974	433	11
975	434	10
976	434	10
977	434	9
978	435	9
979	435	8
980	436	8
981	436	7
982	436	7
983	437	7
984	437	6
985	437	6
986	438	5
987	438	5
988	438	4
989	439	4
990	439	3
991	440	3
992	440	3
993	440	2
994	441	2
995	441	1
996	442	1
997	442	0
998	442	0
999	443	0
